,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location,year,month
684193,31490777,09/08/2015 09:43:45 AM,09/09/2015 10:22:13 AM,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,10473.0,,,,,SOUNDVIEW AVENUE,LACOMBE AVENUE,INTERSECTION,BRONX,,Closed,12/07/2015 09:43:45 AM,"The Department of Transportation inspected the condition and made the determination that the street meets resurfacing standards and will be planned for either the next or future resurfacing seasons (2 - 3 years).  The Department of Transportation works with Community Boards and elected officials to determine resurfacing priority.  For specific scheduling information regarding your street, contact your Community Board.",09/09/2015 10:22:13 AM,09 BRONX,BRONX,1023080.0,236332.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.815267134035615,-73.85971886334055,"(40.815267134036, -73.859718863341)",2015,9
386229,37940129,12/15/2017 08:39:52 PM,12/16/2017 03:44:26 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11374.0,64 AVENUE,64 AVENUE,98 STREET,99 STREET,,,BLOCKFACE,REGO PARK,Precinct,Closed,12/16/2017 04:39:52 AM,The Police Department issued a summons in response to the complaint.,12/16/2017 03:44:26 AM,06 QUEENS,QUEENS,1023776.0,205494.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73062192381735,-73.85738580891065,"(40.730621923817, -73.857385808911)",2017,12
650486,27608570,03/10/2014 04:11:00 PM,03/10/2014 04:32:00 PM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,11373.0,42-07 ELBERTSON STREET,ELBERTSON STREET,WHITNEY AVE,LAMONT AVE,,,ADDRESS,Elmhurst,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",03/10/2014 04:32:00 PM,04 QUEENS,QUEENS,1018897.0,211052.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.74589769808691,-73.87496113087815,"(40.745897698087, -73.874961130878)",2014,3
408827,36325549,05/31/2017 04:49:43 PM,06/19/2017 10:47:12 AM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10033.0,1320 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,06/19/2017 10:47:12 AM,12 MANHATTAN,MANHATTAN,1001957.0,247575.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84619352781456,-73.93600020395904,"(40.846193527815, -73.936000203959)",2017,5
683666,23266783,05/21/2012 11:46:00 AM,05/23/2012 12:00:00 PM,DSNY,A - Staten Island,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,10308.0,,,,,CRANFORD STREET,AMBOY ROAD,INTERSECTION,STATEN ISLAND,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,05/23/2012 12:00:00 PM,03 STATEN ISLAND,STATEN ISLAND,945022.0,140983.0,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.55355470517845,-74.14116387642581,"(40.553554705178, -74.141163876426)",2012,5
47709,31597935,09/23/2015 09:23:02 AM,09/28/2015 12:27:31 PM,HPD,Department of Housing Preservation and Development,Sanitation,PESTS,RESIDENTIAL BUILDING,11415.0,120-07 85 AVENUE,85 AVENUE,,,,,ADDRESS,Kew Gardens,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,09/28/2015 12:27:31 PM,09 QUEENS,QUEENS,1031103.0,195475.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.70308644556211,-73.83101897596852,"(40.703086445562, -73.831018975969)",2015,9
925572,28522246,07/21/2014 06:51:20 PM,07/21/2014 11:30:32 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10462.0,,,,,SACKETT AVENUE,BOGART AVENUE,INTERSECTION,BRONX,Precinct,Closed,07/22/2014 02:51:20 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/21/2014 11:30:32 PM,11 BRONX,BRONX,1024444.0,246600.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.84344371558957,-73.85472963131535,"(40.84344371559, -73.854729631315)",2014,7
781831,33854668,07/16/2016 10:19:52 PM,07/16/2016 10:40:06 PM,NYPD,New York City Police Department,Noise,Loud Music/Party,Street/Sidewalk,11237.0,371 MENAHAN STREET,MENAHAN STREET,WYCKOFF AVENUE,ST NICHOLAS AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,07/17/2016 06:19:52 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/16/2016 10:40:06 PM,04 BROOKLYN,BROOKLYN,1008207.0,194935.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.701695882239214,-73.91359801727273,"(40.701695882239, -73.913598017273)",2016,7
261454,35054422,12/19/2016 06:05:26 AM,12/21/2016 06:14:55 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11220.0,6833 SHORE ROAD,SHORE ROAD,,,,,ADDRESS,BROOKLYN,,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",12/21/2016 06:14:55 PM,10 BROOKLYN,BROOKLYN,974337.0,172230.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.639402620930156,-74.0357182938877,"(40.63940262093, -74.035718293888)",2016,12
873716,38724732,03/18/2018 01:38:00 PM,03/18/2018 01:38:00 PM,DSNY,BCC - Staten Island,Derelict Vehicles,14 Derelict Vehicles,Street,10305.0,83 ARTHUR AVENUE,ARTHUR AVENUE,CEDAR AVENUE,ROBIN ROAD,,,ADDRESS,STATEN ISLAND,DSNY Garage,Pending,,The Department of Sanitation removed the items.,03/18/2018 01:38:00 PM,02 STATEN ISLAND,STATEN ISLAND,965275.0,155954.0,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.59471361215653,-74.06832453157988,"(40.594713612157, -74.06832453158)",2018,3
528603,32819559,03/02/2016 04:53:23 PM,03/02/2016 05:40:25 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11211.0,225 JACKSON STREET,JACKSON STREET,WOODPOINT ROAD,KINGSLAND AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,03/03/2016 12:53:23 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,03/02/2016 05:40:25 PM,01 BROOKLYN,BROOKLYN,1000499.0,200496.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71697701673956,-73.94138383019633,"(40.71697701674, -73.941383830196)",2016,3
243212,32042667,11/21/2015 12:51:39 PM,11/21/2015 01:19:52 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11223,1924 WEST 12 STREET,WEST 12 STREET,AVENUE S,AVENUE T,,,ADDRESS,BROOKLYN,Precinct,Closed,11/21/2015 08:51:39 PM,The Police Department issued a summons in response to the complaint.,11/21/2015 01:19:52 PM,11 BROOKLYN,BROOKLYN,988726.0,157786.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.599761263796104,-73.983881755267,"(40.599761263796, -73.983881755267)",2015,11
582581,35167387,01/03/2017 11:23:00 PM,01/06/2017 12:00:00 PM,DSNY,Queens East 10,Missed Collection (All Materials),2R Bulk-Missed Recy Collection,Sidewalk,11419.0,128-22 LIBERTY AVENUE,LIBERTY AVENUE,128 STREET,129 STREET,,,ADDRESS,South Richmond Hill,,Closed,,The Department of Sanitation picked up the items and determined that the complaint was not warranted.,01/06/2017 12:00:00 PM,10 QUEENS,QUEENS,1035039.0,190374.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.68906370027648,-73.81686181766962,"(40.689063700276, -73.81686181767)",2017,1
752811,32961285,03/22/2016 07:38:14 AM,03/24/2016 12:24:41 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10453.0,2195 GRAND CONCOURSE,GRAND CONCOURSE,,,,,ADDRESS,BRONX,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,03/24/2016 12:24:41 PM,05 BRONX,BRONX,1011631.0,251055.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.85572039168448,-73.90102052066703,"(40.855720391684, -73.901020520667)",2016,3
562269,34289730,09/09/2016 05:11:56 PM,09/15/2016 03:31:25 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11226.0,956 ROGERS AVENUE,ROGERS AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,09/15/2016 03:31:25 PM,Unspecified BROOKLYN,BROOKLYN,997545.0,175014.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.64703967033535,-73.95209027711368,"(40.647039670335, -73.952090277114)",2016,9
593381,29214397,11/03/2014 05:36:00 PM,11/06/2014 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11220.0,659 45 STREET,45 STREET,6 AVENUE,7 AVENUE,,,ADDRESS,BROOKLYN,,Closed,,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,11/06/2014 12:00:00 PM,07 BROOKLYN,BROOKLYN,983153.0,174571.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.6458336423793,-74.0039530660714,"(40.645833642379, -74.003953066071)",2014,11
243425,34692752,11/02/2016 10:23:12 PM,11/03/2016 01:39:34 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10452.0,1000 NELSON AVENUE,NELSON AVENUE,WEST 164 STREET,WEST 165 STREET,,,ADDRESS,BRONX,Precinct,Closed,11/03/2016 06:23:12 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/03/2016 01:38:51 AM,04 BRONX,BRONX,1004011.0,242744.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.832929484941296,-73.92859050840947,"(40.832929484941, -73.928590508409)",2016,11
397017,38401588,02/06/2018 02:52:06 PM,02/08/2018 06:40:50 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10040.0,33 ARDEN STREET,ARDEN STREET,,,,,ADDRESS,NEW YORK,,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",02/08/2018 06:40:50 PM,12 MANHATTAN,MANHATTAN,1004404.0,253324.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.861967569012116,-73.92713854059718,"(40.861967569012, -73.927138540597)",2018,2
411743,31548371,09/16/2015 06:02:00 PM,09/17/2015 03:45:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,11223.0,,,AVENUE Z,W 13 ST,AVENUE Z,WEST 13 STREET,INTERSECTION,BROOKLYN,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",09/17/2015 03:45:00 AM,13 BROOKLYN,BROOKLYN,989251.0,152380.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.58492259783507,-73.9819952118285,"(40.584922597835, -73.981995211828)",2015,9
24710,32243414,12/20/2015 09:07:52 PM,12/22/2015 09:24:34 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10030.0,133 EDGECOMBE AVENUE,EDGECOMBE AVENUE,,,,,ADDRESS,NEW YORK,,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,12/22/2015 09:24:34 AM,09 MANHATTAN,MANHATTAN,999447.0,238412.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.82104841507693,-73.94509304992894,"(40.821048415077, -73.945093049929)",2015,12
414944,31059772,07/13/2015 01:17:24 AM,07/13/2015 08:33:45 AM,NYPD,New York City Police Department,Noise,Loud Music/Party,Residential Building/House,11420.0,,,,,LEFFERTS BOULEVARD,135 AVENUE,INTERSECTION,SOUTH OZONE PARK,Precinct,Closed,07/13/2015 09:17:24 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/13/2015 08:33:45 AM,10 QUEENS,QUEENS,1033939.0,183624.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67054276346667,-73.82087802629964,"(40.670542763467, -73.8208780263)",2015,7
130666,33706164,06/28/2016 09:52:00 PM,06/29/2016 10:32:00 AM,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,11215.0,723 5 AVENUE,5 AVENUE,22 ST,23 ST,,,ADDRESS,BROOKLYN,,Closed,,"The Department of Environmental Protection attempted to contact the complainant by phone, but the phone number provided was incorrect. If the problem still exists, please call 311 and file a new complaint with the correct phone number. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/29/2016 10:32:00 AM,07 BROOKLYN,BROOKLYN,985779.0,179844.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.6603068134159,-73.9944890160387,"(40.660306813416, -73.994489016039)",2016,6
930040,34249528,09/05/2016 07:59:00 PM,09/05/2016 08:55:00 PM,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,11373.0,,,,,KETCHAM STREET,WHITNEY AVENUE,INTERSECTION,Elmhurst,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,09/05/2016 08:55:00 PM,04 QUEENS,QUEENS,1017990.0,209775.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.742396162815744,-73.87824083913695,"(40.742396162816, -73.878240839137)",2016,9
750862,36292769,05/26/2017 08:05:00 PM,05/26/2017 08:05:00 PM,DSNY,BCC - Brooklyn North,Derelict Vehicles,14 Derelict Vehicles,Street,11207.0,,,,,HENDRIX STREET,LIBERTY AVENUE,INTERSECTION,BROOKLYN,DSNY Garage,Pending,,The Department of Sanitation removed the items.,05/26/2017 08:05:00 PM,05 BROOKLYN,BROOKLYN,1014747.0,185346.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.67535617805897,-73.89005464553124,"(40.675356178059, -73.890054645531)",2017,5
392606,33811366,07/11/2016 05:21:56 PM,07/14/2016 12:25:31 PM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10474.0,1202 SPOFFORD AVENUE,SPOFFORD AVENUE,,,,,ADDRESS,BRONX,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,07/14/2016 12:25:31 PM,02 BRONX,BRONX,1014477.0,235801.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.81384331395292,-73.89080127510306,"(40.813843313953, -73.890801275103)",2016,7
119422,33706758,06/28/2016 06:24:39 PM,06/28/2016 08:53:51 PM,NYPD,New York City Police Department,Noise,Loud Music/Party,Residential Building/House,10016.0,330 EAST 39 STREET,EAST 39 STREET,QUEENS MIDTOWN TUNNEL APPROACH,1 AVENUE,,,ADDRESS,NEW YORK,Precinct,Closed,06/29/2016 02:24:39 AM,The Police Department responded to the complaint and determined that police action was not necessary.,06/28/2016 08:53:51 PM,06 MANHATTAN,MANHATTAN,991909.0,211571.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.747386778416036,-73.97235853623522,"(40.747386778416, -73.972358536235)",2016,6
920269,34134209,08/21/2016 12:01:08 AM,08/21/2016 03:19:00 AM,NYPD,New York City Police Department,Noise,Loud Music/Party,Residential Building/House,10030.0,161 WEST 140 STREET,WEST 140 STREET,LENOX AVENUE,7 AVENUE,,,ADDRESS,NEW YORK,Precinct,Closed,08/21/2016 08:01:08 AM,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,08/21/2016 03:19:00 AM,10 MANHATTAN,MANHATTAN,1000768.0,237315.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81803508837598,-73.94032296209289,"(40.818035088376, -73.940322962093)",2016,8
